NotWavenumber,NotIntensity
6002.897143,0.120148
6002.896988,0.120673
6002.896834,0.121734
6002.896675,0.122688
6002.89652,0.123953
6002.896361,0.125458
6002.896207,0.126842
6002.896052,0.128249
6002.895893,0.129099
6002.895738,0.129988
6002.89558,0.13055
6002.895425,0.131233
6002.89527,0.131761
6002.895111,0.131853
6002.894956,0.131698
6002.894801,0.131564
6002.894643,0.130918
6002.894488,0.130244
6002.894329,0.129193
6002.894174,0.128519
6002.894019,0.127735
6002.893861,0.126867
6002.893706,0.126241
6002.893547,0.12556
6002.893392,0.124642
6002.893237,0.124283
6002.893079,0.124023
6002.892924,0.123852
6002.892765,0.124313
6002.89261,0.12475
6002.892455,0.125152
6002.892297,0.125667
6002.892142,0.12588
6002.891987,0.126241
6002.891828,0.126679
6002.891673,0.126646
6002.891515,0.127386
6002.89136,0.127272
6002.891205,0.127306
6002.891046,0.127394
6002.890891,0.127621
6002.890733,0.127697
6002.890578,0.127405
6002.890423,0.12661
6002.890264,0.126104
6002.890109,0.125598
6002.889955,0.124711
6002.889796,0.123809
6002.889641,0.123114
6002.889482,0.12206
6002.889327,0.121402
6002.889173,0.120602
6002.889014,0.120003
6002.888859,0.119704
6002.8887,0.119095
6002.888546,0.119319
6002.888391,0.119404
6002.888232,0.119808
6002.888077,0.120437
6002.887919,0.120993
6002.887764,0.121236
6002.887609,0.121608
6002.88745,0.121602
6002.887295,0.121573
6002.88714,0.12136
6002.886982,0.120931
6002.886827,0.120969
6002.886668,0.121046
6002.886513,0.12079
6002.886358,0.12039
6002.8862,0.120019
6002.886045,0.11922
6002.885886,0.118686
6002.885731,0.118175
6002.885576,0.117297
6002.885418,0.116625
6002.885263,0.115981
6002.885104,0.115598
6002.884949,0.11459
6002.884794,0.113975
6002.884636,0.112599
6002.884481,0.111498
6002.884326,0.110645
6002.884167,0.110019
6002.884012,0.109666
6002.883854,0.109573
6002.883699,0.109507
6002.883544,0.109169
6002.883385,0.109375
6002.88323,0.109209
6002.883072,0.109613
6002.882917,0.109726
6002.882762,0.110044
6002.882603,0.110144
6002.882448,0.11037
6002.88229,0.110951
6002.882135,0.111463
6002.88198,0.111532
6002.881821,0.111976
6002.881667,0.111838
6002.881512,0.112101
6002.881353,0.111988
6002.881198,0.111697
6002.88104,0.111607
6002.880885,0.11147
6002.88073,0.111235
6002.880571,0.111223
6002.880416,0.11087
6002.880258,0.110624
6002.880103,0.110297
6002.879948,0.11021
6002.879789,0.110088
6002.879634,0.109885
6002.879476,0.110631
