# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul 13 15:40:13 2023
# COLUMN name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
name	temp
HD 28109 d	506
HD 285968 b	450
HD 307842 b	1256
HD 3167 b	1774
HD 3167 c	564
HD 3167 d	860
HD 3167 e	375
HD 330075 b	990
HD 332231 b	876
HD 40307 b	910
HD 40307 c	696
HD 40307 d	541
HD 40307 f	398
HD 40307 g	255
HD 42618 b	337
HD 52265 b	405
HD 5278 b	943
HD 56414 b	1133
HD 63433 b	886
HD 63433 c	622
HD 63935 b	911
HD 63935 c	684
HD 73583 b	714
HD 73583 c	498
HD 75289 b	1260
HD 7924 b	826
HD 7924 c	584
HD 7924 d	499
HD 80606 b	405
HD 80653 b	2463
HD 80869 b	203
HD 85512 b	298
HD 86226 b	176
HD 86226 c	1311
HD 89345 b	1089
HD 93963 A b	2042
HD 93963 A c	1344
HD 95086 b	1000
HD 95338 b	385
HD 95544 b	156
HD 97658 b	751
HIP 116454 b	745
HIP 21152 b	1300
HIP 41378 b	973
HIP 41378 c	697
HIP 65 A b	1411
HIP 65426 b	1500
HIP 67522 b	1174
HIP 75056 A b	2300
HIP 78530 b	2700
HIP 79098 AB b	2450
HIP 94235 b	1060
HIP 9618 b	663
HIP 9618 c	487
HIP 97166 b	757
HIP 97166 c	642
HR 2562 b	1200
HR 5183 b	171
HR 858 b	1572
HR 858 c	1326
HR 858 d	1075
HR 8799 b	1200
HR 8799 c	1200
HR 8799 d	1300
HR 8799 e	1150
K2-10 b	703
K2-100 b	1841
K2-101 b	618
K2-104 b	798
K2-105 b	928
K2-107 b	1649
K2-108 b	1360
K2-11 b	734
K2-110 b	638
K2-111 b	1309
K2-113 b	1098
K2-114 b	701
K2-115 b	619
K2-117 b	868
K2-117 c	537
K2-119 b	666
K2-12 b	1026
K2-121 b	738
K2-122 b	769
K2-123 b	338
K2-124 b	442
K2-126 b	601
K2-127 b	809
K2-13 b	511
K2-131 b	2223
K2-132 b	1586
K2-133 e	296
K2-136 b	610
K2-136 c	470
K2-136 d	420
K2-137 b	1471
K2-138 b	1157
K2-138 c	1012
K2-138 d	888
K2-138 e	757
K2-138 f	653
K2-138 g	445
K2-139 b	524
K2-14 b	488
K2-140 b	962
K2-141 b	2103
K2-141 c	695
K2-146 b	534
K2-15 b	676
K2-151 b	566
K2-152 b	337
K2-153 b	497
K2-154 b	715
K2-154 c	552
K2-155 b	708
K2-155 c	583
K2-155 d	381
K2-156 b	1347
K2-158 b	794
K2-158 c	948
K2-159 b	684
K2-16 b	658
K2-16 c	485
K2-162 b	631
K2-165 d	629
K2-166 b	1140
K2-167 b	1174
K2-168 b	766
K2-17 b	487
K2-174 b	455
K2-18 b	284
K2-18 c	363
K2-180 b	802
K2-181 b	962
K2-182 b	969
K2-183 c	787
K2-183 d	615
K2-184 b	533
K2-185 b	809
K2-185 c	477
K2-187 b	1815
K2-187 c	1173
K2-187 d	865
K2-187 e	698
K2-188 b	1692
K2-188 c	1026
K2-189 b	1197
K2-189 c	872
K2-19 b	854
K2-19 c	745
K2-19 d	1252
K2-192 b	939
K2-193 b	739
K2-195 b	720
K2-197 b	848
K2-198 b	716
K2-198 c	1230
K2-198 d	943
K2-199 b	913
K2-199 c	694
K2-21 b	500
K2-21 c	420
K2-212 b	542
K2-214 b	1006
K2-216 b	1103
K2-22 b	2100
K2-220 b	758
K2-222 b	871
K2-223 b	2271
K2-223 c	1091
K2-224 b	1002
K2-224 c	764
K2-225 b	902
K2-226 b	1120
K2-227 b	
K2-228 b	914
K2-229 b	1818
K2-229 c	750
K2-230 b	1529
K2-231 b	
K2-232 b	1030
K2-233 b	1121
K2-233 c	790
K2-233 d	523
K2-237 b	1828
K2-238 b	1587
K2-239 b	502
K2-239 c	427
K2-239 d	399
K2-24 b	709
K2-24 c	560
K2-240 b	586
K2-240 c	389
K2-241 b	507
K2-242 b	416
K2-243 b	1035
K2-243 c	801
K2-244 b	638
K2-245 b	923
K2-246 b	977
K2-247 b	979
K2-247 c	688
K2-248 b	886
K2-249 b	1061
K2-25 b	494
K2-250 b	958
K2-251 b	437
K2-252 b	639
K2-253 b	1238
K2-254 b	791
K2-254 c	551
K2-255 b	1034
K2-256 b	845
K2-257 b	789
K2-258 b	831
K2-259 b	795
K2-26 b	430
K2-260 b	1957
K2-261 b	1046
K2-263 b	470
K2-264 b	496
K2-264 c	331
K2-265 b	
K2-266 b	1515
K2-266 c	664
K2-266 d	538
K2-266 e	490
K2-268 b	1136
K2-268 c	696
K2-268 d	888
K2-268 e	801
K2-268 f	492
K2-269 b	1429
K2-27 b	902
K2-270 b	1203
K2-270 c	848
K2-271 b	893
K2-272 b	747
K2-273 b	849
K2-274 b	655
K2-275 b	1166
K2-275 c	653
K2-276 b	583
K2-277 b	958
K2-278 b	1711
K2-279 b	879
K2-28 b	568
K2-280 b	787
K2-281 b	665
K2-282 b	1057
K2-283 b	1186
K2-284 b	653
K2-285 b	1089
K2-285 c	741
K2-285 d	620
K2-285 e	501
K2-286 b	347
K2-287 b	804
K2-288 B b	226
K2-289 b	753
K2-29 b	1171
K2-290 b	1230
K2-290 c	676
K2-291 b	1301
K2-292 b	795
K2-293 b	750
K2-294 b	1425
K2-295 b	852
K2-3 b	501
K2-3 c	372
K2-3 d	305
K2-30 b	1092
K2-308 b	1214
K2-315 b	460
K2-316 b	841
K2-316 c	423
K2-317 b	432
K2-318 b	456
K2-319 b	641
K2-32 b	837
K2-32 c	634
K2-32 d	550
K2-32 e	1066
K2-320 b	698
K2-321 b	701
K2-322 b	635
K2-323 b	318
K2-324 b	707
K2-325 b	423
K2-326 b	1114
K2-329 b	650
K2-33 b	850
K2-330 b	969
K2-331 b	909
K2-331 c	673
K2-332 b	266
K2-333 b	826
K2-334 b	1380
K2-335 b	949
K2-336 b	569
K2-337 b	850
K2-338 b	783
K2-339 b	508
K2-34 b	1687
K2-340 b	606
K2-341 b	598
K2-342 b	861
K2-343 b	653
K2-343 c	465
K2-344 b	722
K2-345 b	437
K2-346 b	450
K2-347 b	640
K2-348 b	908
K2-348 c	655
K2-349 b	518
K2-35 b	979
K2-35 c	766
K2-350 b	1158
K2-350 c	687
K2-351 b	934
K2-352 b	1160
K2-352 c	885
K2-352 d	727
K2-353 b	735
K2-354 b	543
K2-355 b	1066
K2-356 b	624
K2-357 b	735
K2-358 b	888
K2-36 b	1328
K2-36 c	854
K2-37 b	974
K2-37 c	861
K2-37 d	663
K2-370 b	1328
K2-371 b	957
K2-38 b	1310
K2-38 c	949
K2-39 b	1670
K2-390 b	1300
K2-399 b	2529
K2-4 b	563
K2-405 b	969
K2-415 b	412
K2-416 b	447
K2-417 b	558
K2-43 b	939
K2-43 c	1094
K2-44 b	1211
K2-45 b	1074
K2-46 b	889
K2-5 b	565
K2-5 c	456
K2-52 b	2004
K2-53 b	665
K2-55 b	912
K2-6 b	615
K2-60 b	1400
K2-66 b	1372
K2-7 b	651
K2-77 b	693
K2-79 b	1022
K2-8 b	631
K2-8 c	801
K2-87 b	979
K2-9 b	314
K2-90 b	502
K2-95 b	474
K2-97 b	1499
K2-98 b	1092
K2-99 b	1113
KELT-1 b	2233
KELT-10 b	1377
KELT-11 b	1712
KELT-12 b	1800
KELT-14 b	1970
KELT-15 b	1642
KELT-16 b	2453
KELT-17 b	2087
KELT-18 b	2085
KELT-19 A b	1935
KELT-2 A b	1715
KELT-20 b	2262
KELT-21 b	2051
KELT-23 A b	1561
KELT-24 b	1459
KELT-3 b	1816
KELT-4 A b	1823
KELT-6 b	1313
KELT-7 b	2048
KELT-8 b	1675
KELT-9 b	4050
KIC 5437945 b	308
KIC 9663113 b	264	
KOI-12 b	911
KOI-1257 b	511
KOI-13 b	2550
KOI-142 b	758
KOI-1599.01	660
KOI-1599.02	755
KOI-1783.01	412
KOI-1783.02	321
KOI-1831 d	475
KOI-1833 d	613
KOI-217 b	1046
KOI-3503 b	785
KOI-3503 c	686
KOI-351 b	1062
KOI-351 c	987
KOI-351 d	520
KOI-351 e	450
KOI-351 f	407
KOI-351 g	342
KOI-351 h	294
KOI-3680 b	347
KOI-4777.01	1180
KOI-7368 b	805
KOI-7913 b	432
KOI-94 b	1486
KOI-94 c	1012
KOI-94 d	806
KOI-94 e	584
KOI-984 b	1022
KOI-984 c	597
KPS-1 b	1459
Kepler-10 b	2188
Kepler-10 c	578
Kepler-100 b	1155
Kepler-100 c	939
Kepler-100 d	670
Kepler-1000 b	473
Kepler-1001 b	693
Kepler-1001 c	804
Kepler-1002 b	1453
Kepler-1003 b	1157
Kepler-1004 b	1661
Kepler-1005 b	1026
Kepler-1006 b	791
Kepler-1007 b	652
Kepler-1008 b	627
Kepler-1009 b	403
Kepler-101 b	1513
Kepler-101 c	1413
Kepler-1010 b	477
Kepler-1011 b	920
Kepler-1012 b	934
Kepler-1013 b	766
Kepler-1014 b	614
Kepler-1015 b	1040
Kepler-1016 b	1540
